Year,Title,Authors,Institution Name,Institution Country,Citation Count,Topic
1986,Learning representations by back-propagating errors,"David E. Rumelhart, Geoffrey E. Hinton, Ronald J. Williams","Carnegie Mellon University, University of California, San Diego",US,26286,Artificial Intelligence
2011,The ERA‐Interim reanalysis: configuration and performance of the data assimilation system,"Dick Dee, S. Uppala, A. J. Simmons, Paul Berrisford, Paul Poli, S Kobayashi, Ulf Andrae, Magdalena Balmaseda, Gianpaolo Balsamo, Péter Bauer, Peter Bechtold, Anton Beljaars, Leo van de Berg, Jean‐Raymond Bidlot, Niels Bormann, C. Delsol, Rossana Dragani, Manuel Fuentes, Alan J. Geer, L. Haimberger, S. B. Healy, Hans Hersbach, Elías Hólm, Lars Isaksen, P. Kållberg, Martin Köhler, Marco Matricardi, A. P. McNally, Beatriz M. Monge-Sanz, J.‐J. Morcrette, Byoung-Kwon Park, Carole Peubey, Patricia de Rosnay, Christina Tavolato, Jean‐Noël Thépaut, Frédéric Vitart","European Organisation for the Exploitation of Meteorological Satellites, University of Vienna, Japan Meteorological Agency, University of Leeds, Korea Meteorological Administration, Swedish Meteorological and Hydrological Institute, European Centre for Medium-Range Weather Forecasts","KR, GB, AT, DE, SE, JP",25373,Artificial Intelligence
2015,Human-level control through deep reinforcement learning,"Volodymyr Mnih, Koray Kavukcuoglu, David Silver, Andrei A. Rusu, Joel Veness, Marc G. Bellemare, Alex Graves, Martin Riedmiller, Andreas Fidjeland, Georg Ostrovski, Stig Petersen, Charles Beattie, Amir Sadik, Ioannis Antonoglou, Helen King, Dharshan Kumaran, Daan Wierstra, Shane Legg, Demis Hassabis",Google (United States),US,25291,Artificial Intelligence
2011,Data Mining: Practical Machine Learning Tools and Techniques,"Ian H. Witten, Eibe Frank, Mark A. Hall",Unknown Institution,Unknown Country,25277,Artificial Intelligence
1974,Judgment under Uncertainty: Heuristics and Biases,"Amos Tversky, Daniel Kahneman",Hebrew University of Jerusalem,IL,25070,Artificial Intelligence
2007,UCI Machine Learning Repository,Arthur Asuncion,Unknown Institution,Unknown Country,24931,Artificial Intelligence
1988,Partial Differential Equations,Shiing-Shen Chern,Unknown Institution,Unknown Country,24477,Artificial Intelligence
2002,SMOTE: Synthetic Minority Over-sampling Technique,"Nitesh V. Chawla, Kevin W. Bowyer, Lawrence Hall, W. Philip Kegelmeyer","Sandia National Laboratories California, University of Notre Dame, University of South Florida",US,24424,Artificial Intelligence
2001,The Elements of Statistical Learning,"Trevor Hastie, J. Friedman, Robert Tibshirani","Sequoia (United States), Stanford University",US,24423,Artificial Intelligence
1997,Self-efficacy: the exercise of control,,Unknown Institution,Unknown Country,24282,Artificial Intelligence
2009,Learning Multiple Layers of Features from Tiny Images,Alex Krizhevsky,University of Toronto,CA,24140,Artificial Intelligence
1992,C4.5: Programs for Machine Learning,J. R. Quinlan,The University of Sydney,AU,24118,Artificial Intelligence
1998,Reinforcement Learning: An Introduction,"Richard S. Sutton, Andy Barto",Unknown Institution,Unknown Country,24088,Artificial Intelligence
1984,Classification and Regression Trees.,"Alexander Gordon, Leo Breiman, Jerome H. Friedman, Richard A. Olshen, C. J. Stone",Unknown Institution,Unknown Country,23909,Artificial Intelligence
2010,BEDTools: a flexible suite of utilities for comparing genomic features,"Aaron R. Quinlan, Ira M. Hall",University of Virginia,US,23877,Artificial Intelligence
1975,Judgment under Uncertainty: Heuristics and Biases,"Amos Tversky, Daniel Kahneman",Hebrew University of Jerusalem,IL,23838,Artificial Intelligence
1984,A resource‐based view of the firm,Birger Wernerfelt,University of Michigan–Ann Arbor,US,23743,Artificial Intelligence
2017,Mask R-CNN,"Kaiming He, Georgia Gkioxari, Piotr Dollár, Ross Girshick",Meta (Israel),IL,23723,Artificial Intelligence
2015,Fast R-CNN,Ross Girshick,Microsoft (United States),US,23440,Artificial Intelligence
2012,MrBayes 3.2: Efficient Bayesian Phylogenetic Inference and Model Choice Across a Large Model Space,"Fredrik Ronquist, Maxim Teslenko, Paul van der Mark, Daniel L. Ayres, Aaron E. Darling, Sebastian Höhna, Bret Larget, Liang Liu, Marc A. Suchard, John P. Huelsenbeck","University of Maryland, College Park, University of California, Los Angeles, University of California, Berkeley, University of Wisconsin–Madison, Florida State University, Swedish Museum of Natural History, University of California, Davis, Delaware State University, Stockholm University","US, SE",23413,Artificial Intelligence
1981,Random sample consensus,"Martin A. Fischler, Robert C. Bolles","SRI International, Menlo School",US,23401,Artificial Intelligence
2017,GAN（Generative Adversarial Nets）,"Ian Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, Yoshua Bengio","Indian Institute of Technology Delhi, Université de Montréal","CA, IN",23340,Artificial Intelligence
2016,ggplot2,Hadley Wickham,Unknown Institution,Unknown Country,23261,Artificial Intelligence
2017,Feature Pyramid Networks for Object Detection,"Tsung-Yi Lin, Piotr Dollár, Ross Girshick, Kaiming He, Bharath Hariharan, Serge Belongie","Cornell University, Meta (Israel)","IL, US",23110,Artificial Intelligence
2001,Greedy function approximation: A gradient boosting machine.,Jerome H. Friedman,Stanford University,US,22848,Artificial Intelligence
2007,Pattern Recognition and Machine Learning,Christopher Bishop,Microsoft Research (United Kingdom),GB,22828,Artificial Intelligence
1990,Qualitative evaluation and research methods,Michael Quinn Patton,Unknown Institution,Unknown Country,22629,Artificial Intelligence
2014,A new criterion for assessing discriminant validity in variance-based structural equation modeling,"Jörg Henseler, Christian M. Ringle, Marko Sarstedt","Otto-von-Guericke University Magdeburg, Universität Hamburg, Hamburg University of Technology, University of Twente","DE, NL",22582,Artificial Intelligence
1982,Introduction to Quantitative Genetics.,"A. W. F. Edwards, D. S. Falconer",Unknown Institution,Unknown Country,22499,Artificial Intelligence
1994,Design Patterns: Elements of Reusable Object-Oriented Software,"Erich Gamma, Richard F. Helm, Ralph E. Johnson, John Vlissides","University of Illinois Urbana-Champaign, IBM (United States), Group for Research in Decision Analysis","CA, US",22403,Artificial Intelligence
1989,A tutorial on hidden Markov models and selected applications in speech recognition,L. R. Rabiner,Nokia (United States),US,22283,Artificial Intelligence
1995,Artificial intelligence: a modern approach,"Stuart Russell, Peter Norvig","University of California, Berkeley, University of Southern California",US,21993,Artificial Intelligence
1966,Generalized expectancies for internal versus external control of reinforcement.,Julian B. Rotter,University of Connecticut,US,21526,Artificial Intelligence
2014,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation,"Kyunghyun Cho, Bart van Merriënboer, Çağlar Gülçehre, Dzmitry Bahdanau, Fethi Bougares, Holger Schwenk, Yoshua Bengio","Polytechnique Montréal, Alcatel Lucent (Germany), University of Maine School of Law","CA, DE, US",21457,Artificial Intelligence
2007,Particle swarm optimization,"Riccardo Poli, James Kennedy, Tim Blackwell","University of Essex, Goldsmiths University of London",GB,21432,Artificial Intelligence
2001,MRBAYES: Bayesian inference of phylogenetic trees,"John P. Huelsenbeck, Fredrik Ronquist",University of Rochester,US,21412,Artificial Intelligence
2006,Compressed sensing,David L. Donoho,Stanford University,US,21403,Artificial Intelligence
2004,EEGLAB: an open source toolbox for analysis of single-trial EEG dynamics including independent component analysis,"Arnaud Delorme, Scott Makeig","University of California, San Diego",US,21364,Artificial Intelligence
2015,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,"Sergey Ioffe, Christian Szegedy",Google (United States),US,21316,Artificial Intelligence
1973,Textural Features for Image Classification,"Robert M. Haralick, Karthikeyan Shanmugam, I. Dinstein","Wichita State University, University of Kansas",US,21287,Artificial Intelligence
2017,Attention is All you Need,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Łukasz Kaiser, Illia Polosukhin","University of Southern California, Google (United States)",US,21208,Artificial Intelligence
1984,The Constitution of Society. Outline of the Theory of Structuration,Anthony Giddens,Unknown Institution,Unknown Country,20963,Artificial Intelligence
2013,featureCounts: an efficient general purpose program for assigning sequence reads to genomic features,"Yang Liao, Gordon K. Smyth, Wei Shi","Walter and Eliza Hall Institute of Medical Research, The University of Melbourne",AU,20822,Artificial Intelligence
2014,IQ-TREE: A Fast and Effective Stochastic Algorithm for Estimating Maximum-Likelihood Phylogenies,"Lam-Tung Nguyen, Heiko A. Schmidt, Arndt von Haeseler, Bùi Quang Minh","Max Perutz Labs, Medical University of Vienna, University of Vienna",AT,20622,Artificial Intelligence
2009,A Survey on Transfer Learning,"Sinno Jialin Pan, Qiang Yang","University of Hong Kong, Hong Kong University of Science and Technology",HK,20454,Artificial Intelligence
1982,The meaning and use of the area under a receiver operating characteristic (ROC) curve.,"J A Hanley, Barbara J. McNeil",Unknown Institution,Unknown Country,20428,Artificial Intelligence
1989,A theory for multiresolution signal decomposition: the wavelet representation,Stéphane Mallat,New York University,US,20349,Artificial Intelligence
2023,Generative Adversarial Nets,Raphael Labaca-Castro,Unknown Institution,Unknown Country,20278,Artificial Intelligence
1981,The Evolution of Cooperation,"Robert Axelrod, W D Hamilton",University of Michigan–Ann Arbor,US,20258,Artificial Intelligence
2004,Multiple View Geometry in Computer Vision,"Richard Hartley, Andrew Zisserman","Australian National University, University of Oxford","GB, AU",20238,Artificial Intelligence
2012,Pattern Classification,Norbert M. Seel,University of Freiburg,DE,20087,Artificial Intelligence
2011,"<i>VESTA 3</i>for three-dimensional visualization of crystal, volumetric and morphology data","Koichi Momma, Fujio Izumi",National Institute for Materials Science,JP,20071,Artificial Intelligence
1949,THE ATTRACTIONS OF PROTEINS FOR SMALL MOLECULES AND IONS,George Scatchard,Massachusetts Institute of Technology,US,19989,Artificial Intelligence
1994,Power System Stability and Control,P. Kundur,Unknown Institution,Unknown Country,19907,Artificial Intelligence
2018,Squeeze-and-Excitation Networks,"Jie Hu, Li Shen, Gang Sun","Momenta Pharmaceuticals (United States), University of Oxford","GB, US",19893,Artificial Intelligence
1991,"The fifth discipline, the art and practice of the learning organization",Peter M. Senge,"George Washington University, United States Department of the Army",US,19885,Artificial Intelligence
1977,Time Series Analysis: Forecasting and Control,"Michael D. Geurts, George E. P. Box, Gwilym M. Jenkins",Unknown Institution,Unknown Country,19626,Artificial Intelligence
2010,Search and clustering orders of magnitude faster than BLAST,R. C. Edgar,Tiburon Associates (United States),US,19551,Artificial Intelligence
2017,Focal Loss for Dense Object Detection,"Tsung-Yi Lin, Priya Goyal, Ross Girshick, Kaiming He, Piotr Dollár",Meta (Israel),IL,19511,Artificial Intelligence
2018,MobileNetV2: Inverted Residuals and Linear Bottlenecks,"Mark Sandler, Andrew Howard, Menglong Zhu, Andrey Zhmoginov, Liang-Chieh Chen",Google (United States),US,19446,Artificial Intelligence
2012,<b>lavaan</b>: An<i>R</i>Package for Structural Equation Modeling,Yves Rosseel,Unknown Institution,Unknown Country,19417,Artificial Intelligence
1994,Neural networks for pattern recognition,Chris Bishop,Aston University,GB,19298,Artificial Intelligence
2001,BLEU,"Kishore Papineni, Salim Roukos, Todd J. Ward, Wei-Jing Zhu",Unknown Institution,Unknown Country,19248,Artificial Intelligence
1991,Applied Nonlinear Control,"Jean-Jacques Slotine, Weiping Li",Unknown Institution,Unknown Country,19177,Artificial Intelligence
2017,Image-to-Image Translation with Conditional Adversarial Networks,"Phillip Isola, Jun-Yan Zhu, Tinghui Zhou, Alexei A. Efros","University of California, Berkeley, Berkeley College",US,19062,Artificial Intelligence
2006,Reducing the Dimensionality of Data with Neural Networks,"Geoffrey E. Hinton, Ruslan Salakhutdinov",University of Toronto,CA,19010,Artificial Intelligence
2013,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction","Trevor Hastie, Robert Tibshirani, Jerome H. Friedman",UNSW Sydney,AU,18986,Artificial Intelligence
2015,HISAT: a fast spliced aligner with low memory requirements,"Daehwan Kim, Ben Langmead, Steven L. Salzberg","Johns Hopkins University, Johns Hopkins Medicine",US,18926,Artificial Intelligence
2017,Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks,"Jun-Yan Zhu, Taesung Park, Phillip Isola, Alexei A. Efros","University of California, Berkeley, Berkeley College",US,18924,Artificial Intelligence
2000,Meta-analysis of Observational Studies in Epidemiology&lt;SUBTITLE&gt;A Proposal for Reporting&lt;/SUBTITLE&gt;,Donna F. Stroup,Centers for Disease Control and Prevention,US,18918,Artificial Intelligence
2002,Accurate normalization of real-time quantitative RT-PCR data by geometric averaging of multiple internal control genes,"Jo Vandesompele, Katleen De Preter, Filip Pattyn, Bruce Poppe, Nadine Van Roy, Anne De Paepe, Frank Speleman",Ghent University Hospital,BE,18911,Artificial Intelligence
1989,Multilayer feedforward networks are universal approximators,"Kurt Hornik, Maxwell B. Stinchcombe, Halbert White","University of California, San Diego",US,18853,Artificial Intelligence
2005,An introduction to ROC analysis,Tom Fawcett,Institute for the Study of Learning and Expertise,US,18821,Artificial Intelligence
1985,Fuzzy identification of systems and its applications to modeling and control,"Tomohiro Takagi, Michio Sugeno",Tokyo Institute of Technology,JP,18750,Artificial Intelligence
1995,The need to belong: Desire for interpersonal attachments as a fundamental human motivation.,"Roy F. Baumeister, Mark R. Leary",Case Western Reserve University,US,18679,Artificial Intelligence
